name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Daphnedale Park CDP,16000US0617995,California,Modoc,3446848,209,157,-1,57,18,13,21,5,0,0,0,209,166,15,28,0,0,0,0,0,209,12,0,13,23,0,0,22,0,28,35,0,45,0,13,18,0,35.1,121,0.397,0.364,0.124,0.116,0,0,57,0.316,85,0,85,156700,57,
Darwin CDP,16000US0618030,California,Inyo,3484705,100,74.3,-1,59,36,0,23,0,0,0,0,100,67,0,0,0,0,0,33,0,100,0,0,0,0,0,0,24,15,0,0,0,0,0,0,54,7,64.8,100,0,0.33,0.45,0.07,0,0.15,23,0,0,0,59,32800,59,
Davenport CDP,16000US0618086,California,Santa Cruz,7340965,368,129.8,51250,132,17,45,48,2,0,7,13,368,124,0,0,8,0,9,16,211,368,4,22,3,15,14,19,29,42,61,9,26,18,29,29,22,26,47.4,268,0.183,0.287,0.272,0.104,0,0.153,79,0.025,171,0.146,155,852700,132,
Davis city,16000US0618100,California,Yolo,25607391,68543,6932.6,69379,24630,5922,3668,3369,2043,3533,2226,3869,68543,38028,1420,273,15548,215,263,3468,9328,68543,2621,5358,12445,3092,3258,3235,2762,3209,2676,4744,11166,3433,2944,2913,2442,2245,25.5,35034,0.027,0.063,0.172,0.316,1,0.422,12337,0.064,34265,0.058,25844,652300,24630,
Day Valley CDP,16000US0618153,California,Santa Cruz,47922343,3033,163.9,123382,1108,97,201,79,71,195,179,286,3033,2663,9,1,106,0,0,35,219,3033,191,201,96,168,151,263,279,308,19,169,168,90,123,281,284,242,52,2372,0.034,0.102,0.283,0.355,1,0.227,839,0.048,1560,0.058,1155,875400,1108,
Deer Park CDP,16000US0618324,California,Napa,14562527,869,154.6,89500,444,40,102,65,29,123,16,69,869,746,0,0,61,0,0,8,54,869,68,16,5,46,87,76,135,57,27,5,12,37,30,30,111,127,59.7,741,0.074,0.072,0.393,0.291,1,0.17,231,0.03,453,0.079,677,869200,444,
Del Aire CDP,16000US0618352,California,Los Angeles,2621082,9990,9871.5,103697,3260,237,419,603,263,871,437,430,9990,3131,836,3,797,117,33,534,4539,9990,587,642,657,804,653,737,308,440,608,716,669,987,811,499,489,383,35.8,6816,0.114,0.206,0.281,0.263,1,0.137,2302,0.066,5391,0.035,3565,631400,3260,
Del Mar city,16000US0618506,California,San Diego,4457976,4331,2516.2,129063,2008,158,213,51,287,416,247,636,4331,3580,53,0,72,0,0,161,465,4331,52,346,105,277,507,223,228,454,141,109,76,370,307,406,232,498,49.4,3626,0,0.055,0.188,0.367,1,0.391,1193,0.009,2216,0.032,2735,2000001,2008,
Del Monte Forest CDP,16000US0618590,California,Monterey,20834752,4105,510.3,147500,1752,109,143,212,153,280,282,573,4105,2978,58,0,636,0,0,97,336,4105,43,212,212,161,226,227,504,539,171,282,132,98,125,196,383,594,59.6,3156,0.024,0.111,0.232,0.326,1,0.306,1206,0.012,1528,0.052,2855,1356500,1752,
Del Rey CDP,16000US0618674,California,Fresno,3152292,1261,1036.1,26193,375,177,121,26,15,28,8,0,1261,24,0,0,33,0,0,0,1204,1261,54,95,50,100,68,94,59,46,126,134,97,75,50,121,54,38,34.5,742,0.569,0.127,0.175,0.075,0,0.054,317,0.385,526,0.108,393,181900,375,
Del Rey Oaks city,16000US0618688,California,Monterey,1247278,1525,3166.7,95000,650,65,76,80,117,142,84,86,1525,1099,58,0,104,5,0,69,190,1525,75,53,65,92,128,127,114,129,78,62,65,77,99,119,147,95,49.3,1223,0.026,0.168,0.369,0.222,0,0.216,408,0.022,830,0.051,745,629400,650,
Del Rio CDP,16000US0618695,California,Stanislaus,5393762,1592,764.4,119000,490,0,59,109,11,74,71,166,1592,967,0,0,136,0,0,157,332,1592,142,216,41,100,48,100,109,136,87,161,49,97,33,47,130,96,35.7,917,0.084,0.157,0.261,0.218,0,0.28,415,0.041,640,0.044,490,868300,490,
Delano city,16000US0618394,California,Kern,36997527,52886,3702.3,43641,11745,2907,3676,2240,1242,1008,515,157,52886,2805,1985,239,6412,65,8,441,40931,52886,3497,3769,3992,3009,2864,2076,1827,1790,4172,4050,6567,5345,4045,2926,1721,1236,30.4,31997,0.419,0.286,0.219,0.062,0,0.014,10291,0.205,21246,0.119,12518,182900,11745,
Delft Colony CDP,16000US0618450,California,Tulare,169996,715,10893.4,-1,149,78,0,71,0,0,0,0,715,103,0,0,0,0,0,0,612,715,0,68,67,54,0,86,0,0,178,112,60,0,53,18,19,0,19,290,0.245,0.507,0.186,0.062,0,0,132,0.591,202,0,149,-1,149,
Delhi CDP,16000US0618464,California,Merced,9092104,12301,3504.1,63081,2960,541,494,917,386,397,180,45,12301,1999,0,133,507,0,0,171,9491,12301,691,1212,954,807,711,704,610,288,1150,1218,852,799,495,1034,551,225,30.6,6999,0.462,0.2,0.264,0.053,0,0.02,2625,0.136,5500,0.106,3030,239700,2960,
Delleker CDP,16000US0618485,California,Plumas,7164096,477,172.4,69028,159,24,38,21,39,37,0,0,477,420,0,0,0,0,0,0,57,477,0,102,0,46,17,0,29,11,66,38,0,77,0,32,35,24,37.1,271,0.044,0.269,0.506,0.133,0,0.048,97,0,145,0,341,244500,159,
Denair CDP,16000US0618856,California,Stanislaus,5402183,5101,2445.6,71277,1580,278,250,321,213,359,81,78,5101,3310,0,0,179,0,0,53,1559,5101,311,296,384,216,451,272,276,261,302,554,373,293,457,223,240,192,37.2,3297,0.163,0.372,0.341,0.093,0,0.031,1402,0.157,2435,0.086,1580,306500,1580,
Derby Acres CDP,16000US0618926,California,Kern,9274814,386,107.8,48333,124,30,36,18,23,11,6,0,386,283,0,6,2,0,0,23,72,386,10,34,22,13,23,30,22,25,36,34,17,27,27,22,10,34,40,241,0.373,0.212,0.353,0.037,0,0.025,93,0.172,130,0.1,151,110600,124,
Descanso CDP,16000US0618940,California,San Diego,49622033,1568,81.8,92232,561,76,59,64,97,174,40,51,1568,1377,0,0,0,0,8,65,118,1568,138,52,68,106,42,157,108,94,142,55,80,94,63,157,133,79,43,1111,0.032,0.227,0.489,0.131,0,0.122,432,0.097,735,0.029,707,380700,561,
Desert Center CDP,16000US0618982,California,Riverside,78799210,216,7.1,32292,90,1,61,13,9,1,0,5,216,201,3,0,0,0,0,7,5,216,0,1,0,1,0,3,19,70,0,5,0,14,2,2,30,69,70.6,210,0.038,0.129,0.262,0.071,0,0.5,75,0,29,0,219,113400,90,
Desert Edge CDP,16000US0618986,California,Riverside,5872955,3319,1463.7,31604,1791,736,478,333,109,126,9,0,3319,2265,0,0,19,0,0,0,1035,3319,45,18,43,118,67,143,438,809,102,117,25,117,93,270,326,588,67.2,2984,0.215,0.26,0.359,0.1,0,0.067,963,0.212,809,0.087,3655,41100,1791,
Desert Hot Springs city,16000US0618996,California,Riverside,78275276,28585,945.8,33046,10476,4028,3174,1493,833,695,179,74,28585,8677,2639,187,853,22,157,471,15579,28585,2001,1631,2037,2188,1974,1896,1406,1259,2090,2204,1669,1914,1835,1733,1459,1289,36.8,18904,0.248,0.342,0.287,0.081,0,0.042,6097,0.265,11906,0.097,12849,194500,10476,
Desert Palms CDP,16000US0619022,California,Riverside,6917118,6755,2529.3,60221,3958,689,1011,645,574,582,166,291,6755,6072,241,0,23,0,0,148,271,6755,0,0,0,124,44,235,1006,2348,0,0,0,0,0,225,546,2227,74.6,6755,0.018,0.198,0.362,0.258,1,0.164,2265,0.057,1181,0,5173,371500,3958,
Desert Shores CDP,16000US0619024,California,Imperial,1809312,574,821.7,-1,338,192,117,24,5,0,0,0,574,13,71,0,0,0,0,0,490,574,0,0,32,30,0,50,54,25,71,26,37,120,49,10,57,13,37.6,477,0.608,0.155,0.067,0.17,0,0,89,0.157,295,0,520,48700,338,
Desert View Highlands CDP,16000US0619052,California,Los Angeles,1140094,2668,6061,60703,936,153,176,182,223,188,14,0,2668,497,77,0,139,0,17,60,1878,2668,115,171,194,100,219,198,176,103,173,125,156,166,189,302,169,112,44.1,1943,0.304,0.283,0.297,0.104,0,0.011,703,0.055,1402,0.061,989,268800,936,
Diablo CDP,16000US0619150,California,Contra Costa,3515783,448,330,143616,228,0,20,49,20,56,10,73,448,448,0,0,0,0,0,0,0,448,7,0,0,14,0,41,71,97,0,0,0,0,0,21,23,174,70.9,441,0,0.048,0.141,0.458,1,0.354,199,0,96,0,228,2000001,228,
Diablo Grande CDP,16000US0619155,California,Stanislaus,13218500,889,174.2,102458,361,23,40,29,59,91,71,48,889,472,97,0,42,6,0,9,263,889,12,43,29,81,24,96,147,30,46,70,8,45,30,74,127,27,55.7,687,0.115,0.231,0.389,0.17,0,0.095,295,0,417,0.024,455,382800,361,
Diamond Bar city,16000US0619192,California,Los Angeles,38516833,56211,3779.8,99083,17904,1742,2672,2509,2113,3996,2218,2654,56211,9578,1986,160,32694,62,37,1225,10469,56211,2736,3195,3353,3722,3956,4878,4183,3205,3099,3429,3704,3174,3353,4217,3641,2366,42.6,40810,0.058,0.145,0.248,0.358,1,0.191,14767,0.047,29113,0.056,18535,664400,17904,
Diamond Springs CDP,16000US0619220,California,El Dorado,43097226,11731,705,62370,4951,940,1088,760,533,982,345,303,11731,10080,18,27,202,40,0,409,955,11731,490,608,466,547,602,1125,975,1166,396,671,730,577,498,923,772,1185,52.5,9276,0.079,0.283,0.415,0.173,0,0.049,3074,0.009,5044,0.048,5232,326400,4951,
Dillon Beach CDP,16000US0619262,California,Marin,7727875,254,85.1,119706,96,0,20,0,13,27,18,18,254,209,0,0,0,0,0,0,45,254,47,12,15,8,19,0,38,8,28,0,0,19,20,10,30,0,38.9,152,0,0.059,0.375,0.375,1,0.191,65,0,106,0.094,480,964300,96,
Dinuba city,16000US0619318,California,Tulare,16865873,24015,3687.8,44289,6174,1426,1902,999,658,827,261,101,24015,2520,79,42,466,3,38,166,20701,24015,2372,1983,1900,1525,1352,1138,714,882,2210,2627,1856,1773,1302,1202,638,541,27.7,13222,0.362,0.301,0.249,0.059,0,0.029,5346,0.237,10423,0.116,6348,197500,6174,
Discovery Bay CDP,16000US0619339,California,Contra Costa,9778190,16159,4280.1,130547,5482,304,494,356,714,1346,1030,1238,16159,11124,783,6,981,0,25,514,2726,16159,896,1284,834,945,1124,1348,1063,767,928,1255,592,928,1096,1337,838,924,41.7,11157,0.034,0.212,0.437,0.213,0,0.103,4442,0.044,8403,0.044,5921,615900,5482,
Dixon Lane-Meadow Creek CDP,16000US0619406,California,Inyo,8701384,2664,792.9,59375,1133,231,265,211,200,168,27,31,2664,1618,0,62,29,0,20,28,907,2664,158,61,144,140,122,160,264,265,180,179,161,74,175,199,221,161,46.7,1941,0.159,0.298,0.308,0.167,0,0.067,805,0.084,1195,0.052,1205,72200,1133,
Dixon city,16000US0619402,California,Solano,18298989,20084,2842.6,82570,6062,544,946,1078,1188,1347,613,346,20084,9046,374,101,998,90,18,942,8515,20084,1233,1537,1336,1492,1074,1157,925,1082,1310,1821,1643,1436,1159,1238,883,758,34,12535,0.199,0.261,0.343,0.131,0,0.066,4874,0.079,10566,0.057,6389,385400,6062,
Dobbins CDP,16000US0619416,California,Yuba,20066943,346,44.7,-1,134,78,14,0,0,0,0,42,346,291,21,0,0,0,0,0,34,346,55,39,11,50,0,0,15,0,42,0,44,42,0,34,0,14,25.6,199,0,0.492,0.432,0.075,0,0,100,0.44,112,0,227,-1,134,
